# INSTRUMENT_ID: 1
# OBS_GROUP_ID: 55
# UNIT_ID: None
# RA: 23.427083333333332
# DEC: 3.5434166666666664
# OBS_DATE: 2024-06-27 11:23:19.170000+00:00
# REDSHIFT: None
# REDSHIFT_ERR: None
# REDSHIFT_QUALITY: None
# SPEC_PLOT_FILE: None
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None
# REFERENCE: None
# TRANSIENT_ID: 165244
# FOLLOWUP_ID: None
# SPEC_PHASE: None
# RLAP: None
# SNID_PLOT_FILE: None

wavelength,flux,fluxerr
4765.348,2.18962e+00,8.21427e-02
4767.882,2.21171e+00,7.66214e-02
4770.415,2.24975e+00,7.46798e-02
4772.949,2.15554e+00,7.56773e-02
4775.483,2.22849e+00,8.12234e-02
4778.017,2.27542e+00,8.35292e-02
4780.550,2.28396e+00,7.93321e-02
4783.084,2.22605e+00,7.45582e-02
4785.618,2.24297e+00,7.42563e-02
4788.152,2.28784e+00,7.78029e-02
4790.685,2.31966e+00,8.23185e-02
4793.219,2.19836e+00,8.00977e-02
4795.753,2.25706e+00,7.52689e-02
4798.287,2.27071e+00,7.37675e-02
4800.821,2.30887e+00,7.64942e-02
4803.354,2.35647e+00,8.21349e-02
4805.888,2.36053e+00,8.20779e-02
4808.422,2.32509e+00,7.57844e-02
4810.956,2.41323e+00,7.35098e-02
4813.489,2.42024e+00,7.49979e-02
4816.023,2.52025e+00,8.04461e-02
4818.557,2.44562e+00,8.20696e-02
4821.091,2.26886e+00,7.73064e-02
4823.624,2.31830e+00,7.33803e-02
4826.158,2.32746e+00,7.30981e-02
4828.692,2.36031e+00,7.71293e-02
4831.226,2.24584e+00,8.03644e-02
4833.759,2.25574e+00,7.86237e-02
4836.293,2.30753e+00,7.36435e-02
4838.827,2.35314e+00,7.21351e-02
4841.361,2.34500e+00,7.43935e-02
4843.895,2.33553e+00,8.03194e-02
4846.428,2.38725e+00,8.00632e-02
4848.962,2.20337e+00,7.38694e-02
4851.496,2.26256e+00,7.11372e-02
4854.030,2.20108e+00,7.12067e-02
4856.563,2.34791e+00,7.51345e-02
4859.097,2.35516e+00,7.46165e-02
4861.631,2.26004e+00,6.93319e-02
4864.165,2.28708e+00,6.76291e-02
4866.698,2.36943e+00,6.93420e-02
4869.232,2.26489e+00,7.27608e-02
4871.766,2.31317e+00,7.65826e-02
4874.300,2.43701e+00,7.49691e-02
4876.833,2.39536e+00,7.11010e-02
4879.367,2.46250e+00,7.05832e-02
4881.901,2.36361e+00,7.30352e-02
4884.435,2.50813e+00,7.76521e-02
4886.968,2.45508e+00,7.62114e-02
4889.502,2.28455e+00,7.00055e-02
4892.036,2.28527e+00,6.86383e-02
4894.570,2.27743e+00,7.08343e-02
4897.104,2.10732e+00,7.60505e-02
4899.637,2.37480e+00,7.78273e-02
4902.171,2.43011e+00,7.33848e-02
4904.705,2.38947e+00,6.99278e-02
